arc	type	trial_set	pos	date	huge	pattern	locale	heading_rad	species	predator	id	video
60	DoG	B1	1	20/05/2015	0	dog 60	Berlin	-2.95	Da	0	na	NA
60	DoG	B1	2	20/05/2015	0	dog 60	Berlin	0.28	Da	0	na	NA
60	DoG	B1	3	20/05/2015	0	dog 60	Berlin	0.43	Da	0	na	NA
60	DoG	B1	4	20/05/2015	0	dog 60	Berlin	0.06	Da	0	na	NA
60	DoG	B2	1	20/05/2015	0	dog 60	Berlin	-0.38	Da	0	na	NA
60	DoG	B2	2	20/05/2015	0	dog 60	Berlin	-1.86	Da	0	na	NA
60	DoG	B2	4	20/05/2015	0	dog 60	Berlin	0.44	Da	0	na	NA
60	DoG	B3	2	20/05/2015	0	dog 60	Berlin	0.19	Da	0	na	NA
55	DoG	B4	1	27/05/2015	0	dog 55	Berlin	2.57	Da	0	na	NA
55	DoG	B4	2	27/05/2015	0	dog 55	Berlin	0.25	Da	0	na	NA
55	DoG	B4	3	27/05/2015	0	dog 55	Berlin	0.6	Da	0	na	NA
55	DoG	B4	4	27/05/2015	0	dog 55	Berlin	-2.97	Da	0	na	NA
55	DoG	B5	1	27/05/2015	0	dog 55	Berlin	-1.1	Da	0	na	NA
55	DoG	B5	2	27/05/2015	0	dog 55	Berlin	0.01	Da	0	na	NA
55	DoG	B5	3	27/05/2015	0	dog 55	Berlin	-0.3	Da	0	na	NA
55	DoG	B5	4	27/05/2015	0	dog 55	Berlin	0.03	Da	0	na	NA
55	DoG	B6	2	27/05/2015	0	dog 55	Berlin	2.69	Da	0	na	NA
55	DoG	B6	3	27/05/2015	0	dog 55	Berlin	-1.38	Da	0	na	NA
55	DoG	B6	4	27/05/2015	0	dog 55	Berlin	1.94	Da	0	na	NA
55	DoG	B7	1	27/05/2015	0	dog 55	Berlin	2.92	Da	0	na	NA
55	DoG	B7	2	27/05/2015	0	dog 55	Berlin	-0.28	Da	0	na	NA
55	DoG	B7	3	27/05/2015	0	dog 55	Berlin	-0.08	Da	0	na	NA
55	DoG	B7	4	27/05/2015	0	dog 55	Berlin	0.23	Da	0	na	NA
55	DoG	B8	1	27/05/2015	0	dog 55	Berlin	-2.52	Da	0	na	NA
